gene,logFC_base,pvalue_base,padj_base,logFC_immune_adj,pvalue_immune_adj,padj_immune_adj,symbol,hit_partition,sig_base,sig_immune_adj,delta_log10_p
ENSG00000149742.10,0.0518499248129538,0.421672710172097,0.779214588079093,0.0547994156885959,0.397935832958963,0.806146212463348,SLC22A9,candidate_tumour_intrinsic,FALSE,FALSE,0.025162447383916
ENSG00000149743.14,-0.020299799719944,0.221977099771886,0.629400672018188,-0.0171256172364773,0.302041399873322,0.754859361974133,TRPT1,candidate_tumour_intrinsic,FALSE,FALSE,-0.133758301579827
ENSG00000149761.9,-0.00658132539478686,0.715108232099988,0.907887049317953,-0.00645495981176971,0.722585697810236,0.932481444737024,NUDT22,candidate_tumour_intrinsic,FALSE,FALSE,-0.00451758376523076
ENSG00000149781.13,0.0293236406492535,0.258864222847033,0.661592381301924,-0.00489572726478459,0.757107958317373,0.940886890962006,FERMT3,candidate_tumour_intrinsic,FALSE,FALSE,-0.466085779748897
ENSG00000149782.13,0.018025253836719,0.0929077162740339,0.47665678226538,0.0169960933948074,0.114664047633362,0.585085494462372,PLCB3,candidate_tumour_intrinsic,FALSE,FALSE,-0.0913754832805204
ENSG00000149792.9,0.00420161472356995,0.680131783187068,0.895461026846317,0.0061634853781908,0.543046063304253,0.870324306990077,MRPL49,candidate_tumour_intrinsic,FALSE,FALSE,0.0977564005846209
ENSG00000149806.11,-0.031431985226719,0.0578893427285353,0.417087418966463,-0.0324921504662595,0.0507536509271834,0.494142199755259,FAU,candidate_tumour_intrinsic,FALSE,FALSE,0.0571313302777596
ENSG00000149809.16,-0.0322467486321649,0.282427389609652,0.680126473565388,-0.0265862105639015,0.371137934831467,0.792848151249211,TM7SF2,candidate_tumour_intrinsic,FALSE,FALSE,-0.118628534824127
ENSG00000149823.9,-0.0164262359029342,0.20554337102766,0.613808642386822,-0.0151070416631786,0.245602727281787,0.70953244546153,VPS51,candidate_tumour_intrinsic,FALSE,FALSE,-0.0773297101692513
ENSG00000149922.11,0.0377479653482395,0.306893675435432,0.700449841773227,0.0690313490343889,0.052061924886948,0.49612959341279,TBX6,candidate_tumour_intrinsic,FALSE,FALSE,0.77046771719065
ENSG00000149923.14,-0.0195349841841637,0.122451324050191,0.520100225940474,-0.0220880343866093,0.0795503742893873,0.5387848231856,PPP4C,likely_immune_associated,FALSE,FALSE,0.187321258086126
ENSG00000149925.22,-0.00942554849812135,0.797778256350604,0.938389037039264,-0.00733241681999245,0.843215236857259,0.965367909909578,ALDOA,candidate_tumour_intrinsic,FALSE,FALSE,-0.0240562502904939
ENSG00000149926.13,0.0237922540459085,0.858250940071227,0.958590693140473,0.0827479919788393,0.511751633861195,0.857563672013028,TLCD3B,candidate_tumour_intrinsic,FALSE,FALSE,0.224555049893704
